Mã CK,Tên Công Ty,Ngày GDĐT,KLNY LầnĐầu,Giá NY,KL ĐangLưuHành,Cổ Phiếu Quỹ,Khối Lượng Niêm yết,NN được sở hữu,Tỷ Lệ NN Được sở Hữu,NN còn được phép mua,Giá HT,Vốn Thị Trường,Nhóm,Sàn Giao Dịch
ADC,CTCP Mỹ thuật và Truyền thông,24/12/2010,1000000.0,10.8,3060000.0,0.0,3060000.0,1499400.0,49.0,1136986.0,24.7,75.6,congnghe,HNX
CKV,CTCP COKYVINA,11/03/2010,4050000.0,20.0,4050000.0,0.0,4050000.0,1984500.0,49.0,1028900.0,12.6,51.0,congnghe,HNX
KST,CTCP KASATI,29/12/2010,2996010.0,25.5,2996010.0,0.0,2996010.0,1468044.0,48.99996996004686,1374644.0,32.4,97.1,congnghe,HNX
ONE,CTCP Truyền thông Số 1,25/06/2008,2000000.0,25.0,7960310.0,0.0,7960310.0,3546118.0,44.547486215989075,2668625.0,7.9,62.9,congnghe,HNX
POT,CTCP Thiết bị Bưu điện,20/12/2006,14998600.0,61.8,19142686.0,143660.0,19286346.0,9520702.0,49.36498598542202,9499754.0,19.4,374.2,congnghe,HNX
SMT,CTCP Sametel,30/07/2010,2500000.0,17.4,5467432.0,0.0,5467432.0,2195935.0,40.16391973416405,1060610.0,17.8,97.3,congnghe,HNX
SRA,CTCP Sara Việt Nam,18/01/2008,1000000.0,51.0,25199974.0,0.0,25199974.0,980000.0,3.8888929012387075,823400.0,9.3,234.4,congnghe,HNX
TST,CTCP Dịch vụ Kỹ Thuật Viễn thông,13/12/2007,4800000.0,67.1,4800000.0,0.0,4800000.0,2352000.0,49.0,1924500.0,9.6,46.1,congnghe,HNX
TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung,29/01/2013,3500000.0,9.4,7570444.0,0.0,7570444.0,2572500.0,33.9808338850403,2563500.0,5.7,43.2,congnghe,HNX
UNI,CTCP Viễn Liên,03/07/2006,1000000.0,28.2,15014432.0,301600.0,15316032.0,7652639.0,49.964892995783764,6806731.0,13.4,205.2,congnghe,HNX
VAT,CTCP Viễn thông Vạn Xuân,15/12/2010,1200000.0,19.3,4476953.0,68000.0,4544953.0,2057900.0,45.278796062357515,1914550.0,2.4,10.9,congnghe,HNX
VIE,CTCP Công nghệ Viễn thông VITECO,06/05/2011,1561244.0,12.8,1561244.0,0.0,1561244.0,765009.0,48.9999641311672,765009.0,5.4,8.4,congnghe,HNX
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang,04/08/2010,1080000.0,20.0,1080000.0,0.0,1080000.0,529200.0,49.0,29400.0,25.3,27.3,congnghe,HNX
VTC,CTCP Viễn thông VTC,12/02/2003,1797740.0,21.0,4534696.0,0.0,4534696.0,2222001.0,48.9999991179122,1615797.0,16.1,73.0,congnghe,HNX
