Mã CK,Tên Công Ty,Ngày GDĐT,KLNY LầnĐầu,Giá NY,KL ĐangLưuHành,Cổ Phiếu Quỹ,Khối Lượng Niêm yết,NN được sở hữu,Tỷ Lệ NN Được sở Hữu,NN còn được phép mua,Giá HT,Vốn Thị Trường,Nhóm,Sàn Giao Dịch
ABC,CTCP Truyền thông VMG,18/08/2016,20393000.0,28.5,20393000.0,0.0,20393000.0,9060.0,0.044427009267886036,9060.0,13.2,269.2,congnghe,UPCOM
CMT,CTCP Công nghệ Mạng và Truyền thông,11/03/2010,8000000.0,50.0,6566740.0,716630.0,7283370.0,3920000.0,53.82123934387516,2660540.0,19.3,140.6,congnghe,UPCOM
CNC,CTCP Công nghệ Cao Traphaco,25/06/2014,6313572.0,0.0,11364325.0,0.0,11364325.0,4590174.0,40.39108350033988,4590174.0,29.1,330.7,congnghe,UPCOM
CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco,02/06/2016,4400000.0,12.0,8800000.0,0.0,8800000.0,2156000.0,24.5,2156000.0,23.5,206.8,congnghe,UPCOM
FOX,CTCP Viễn thông FPT,13/01/2017,137078609.0,54.0,273646461.0,0.0,273646461.0,0.0,0.0,0.0,80.0,21891.7,congnghe,UPCOM
HPT,CTCP Dịch vụ Công nghệ Tin học HPT,17/06/2010,5989299.0,0.0,7961285.0,155660.0,8116945.0,3177423.0,39.14555291430458,3177423.0,12.0,97.4,congnghe,UPCOM
IFC,CTCP Thực phẩm Công nghệ Sài Gòn,22/03/2016,3000000.0,26.5,9000000.0,0.0,9000000.0,1470000.0,16.333333333333332,1470000.0,6.9,62.1,congnghe,UPCOM
LTC,CTCP Điện nhẹ Viễn Thông,14/12/2006,700000.0,45.0,4586000.0,0.0,4586000.0,2247140.0,49.0,2140914.0,3.3,15.1,congnghe,UPCOM
SRB,CTCP Tập đoàn Sara,17/03/2008,5650000.0,15.1,8500000.0,0.0,8500000.0,3852830.0,45.327411764705886,3852830.0,5.1,43.3,congnghe,UPCOM
TTN,CTCP Công nghệ và Truyền thông Việt Nam,19/04/2017,24485000.0,7.0,24485000.0,0.0,24485000.0,0.0,0.0,0.0,15.2,372.2,congnghe,UPCOM
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam,14/07/2017,43800000.0,12.1,43800000.0,0.0,43800000.0,0.0,0.0,0.0,14.5,635.1,congnghe,UPCOM
