Mã CK,Tên Công Ty,Ngày GDĐT,KLNY LầnĐầu,Giá NY,KL ĐangLưuHành,Cổ Phiếu Quỹ,Khối Lượng Niêm yết,NN được sở hữu,Tỷ Lệ NN Được sở Hữu,NN còn được phép mua,Giá HT,Vốn Thị Trường,Nhóm,Sàn Giao Dịch
ACB,Ngân hàng TMCP Á Châu,21/11/2006,110004656.0,130.2,2701948075.0,0.0,2701948075.0,281308951.0,10.411338160153209,2.0,31.4,84841.2,nganhang,HOSE
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,06/09/2011,66000000.0,11.5,117276895.0,0.0,117276895.0,57465678.0,48.99999953102442,2711424.0,30.2,3541.8,nganhang,HOSE
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,24/01/2014,2811202644.0,18.7,4160245514.0,0.0,4160245514.0,1025614600.0,24.65274216506252,959977104.0,39.9,165993.8,nganhang,HOSE
BMI,Tổng Công ty cổ phần Bảo Minh,28/11/2006,43400000.0,74.1,91354037.0,0.0,91354037.0,40694445.0,44.5458639118488,5547430.0,45.8,4184.0,nganhang,HOSE
BVH,Tập đoàn Bảo Việt,26/06/2009,573026605.0,46.2,742322764.0,0.0,742322764.0,333431002.0,44.917254080059436,162908752.0,64.9,48176.7,nganhang,HOSE
CTG,Ngân hàng TMCP Công Thương Việt Nam,16/07/2009,121211780.0,50.0,3723404556.0,0.0,3723404556.0,1117021366.0,29.999999978514285,641249.0,31.1,115797.9,nganhang,HOSE
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,27/10/2009,876226900.0,28.0,1235522904.0,0.0,1235522904.0,370656871.0,29.99999998381252,24056584.0,23.5,29034.8,nganhang,HOSE
HDB,Ngân hàng TMCP Phát triển TPHCM,05/01/2018,980999979.0,33.0,1240619957.0,15078688.0,1255698645.0,0.0,0.0,0.0,25.2,31643.6,nganhang,HOSE
LPB,Ngân hàng TMCP Bưu điện Liên Việt,05/10/2017,646000000.0,14.8,1074638914.0,0.0,1074638914.0,0.0,0.0,0.0,21.0,22567.4,nganhang,HOSE
MBB,Ngân hàng TMCP Quân Đội,01/11/2011,730000000.0,13.8,3778321777.0,0.0,3778321777.0,326236363.0,8.63442507691954,7.0,28.4,107304.3,nganhang,HOSE
MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội,05/05/2017,80000000.0,10.0,143000000.0,0.0,143000000.0,0.0,0.0,0.0,28.2,4032.6,nganhang,HOSE
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,29/07/2011,70974218.0,18.8,88491993.0,112890.0,88604883.0,34777366.0,39.249942917931506,33613327.0,28.4,2511.9,nganhang,HOSE
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,20/04/2009,50000000.0,14.4,1925056465.0,496186.0,1925552651.0,284578338.0,14.779047347898253,169769163.0,27.3,52471.3,nganhang,HOSE
STB,Ngân hàng TMCP Sài Gòn Thương Tín,12/07/2006,189947299.0,78.0,1685215717.0,100000000.0,1785215717.0,565564714.0,31.68046912282478,347154788.0,26.5,47308.2,nganhang,HOSE
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,04/06/2018,1165530720.0,128.0,3500139962.0,0.0,3500139962.0,0.0,0.0,0.0,51.5,180257.2,nganhang,HOSE
TPB,Ngân hàng TMCP Tiên Phong,19/04/2018,555000000.0,32.0,991639611.0,40016056.0,1031655667.0,0.0,0.0,0.0,43.3,44670.7,nganhang,HOSE
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,30/06/2009,112285426.0,50.0,3708877448.0,0.0,3708877448.0,799506100.0,21.55655211608922,233452830.0,96.1,356423.1,nganhang,HOSE
VIB,Ngân hàng TMCP Quốc tế Việt Nam,09/01/2017,564442500.0,17.0,1109387852.0,0.0,1109387852.0,0.0,0.0,0.0,37.1,41158.3,nganhang,HOSE
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,17/08/2017,1332689035.0,39.0,2456748366.0,0.0,2456748366.0,0.0,0.0,0.0,38.0,93233.6,nganhang,HOSE
