date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2011-09-06,5.17,0.0,0.0,5.17,80800.0,5.17,5.17,5.17,0.0,0.0,0.0
2011-09-07,5.17,-0.22,-4.35,4.94,47270.0,4.94,4.94,4.94,100000.0,0.0,0.0
2011-09-08,4.94,0.22,4.55,5.17,413500.0,5.05,5.17,4.94,0.0,0.0,0.0
2011-09-09,5.17,-0.11,-2.18,5.05,62590.0,5.17,5.17,5.0,0.0,0.0,0.0
2011-09-12,5.05,-0.22,-4.44,4.83,89140.0,5.11,5.11,4.83,0.0,0.0,0.0
2011-09-13,4.83,0.06,1.16,4.89,109590.0,4.89,4.94,4.72,0.0,500.0,0.0
2011-09-14,4.89,-0.22,-4.6,4.66,140150.0,4.83,4.83,4.66,0.0,500.0,0.0
2011-09-15,4.66,-0.06,-1.21,4.61,57160.0,4.61,4.77,4.44,0.0,0.0,0.0
2011-09-16,4.61,-0.17,-3.66,4.44,74480.0,4.44,4.61,4.44,0.0,0.0,0.0
2011-09-19,4.44,0.06,1.26,4.49,21550.0,4.38,4.55,4.38,0.0,0.0,0.0
2011-09-20,4.49,-0.11,-2.5,4.38,26460.0,4.38,4.49,4.38,0.0,0.0,0.0
2011-09-21,4.38,-0.17,-3.85,4.21,51050.0,4.38,4.38,4.21,0.0,0.0,0.0
2011-09-22,4.21,0.17,4.0,4.38,26700.0,4.27,4.38,4.21,0.0,0.0,0.0
2011-09-23,4.38,0.0,0.0,4.38,8100.0,4.32,4.38,4.32,0.0,0.0,0.0
2011-09-26,4.38,-0.17,-3.85,4.21,21060.0,4.21,4.44,4.21,0.0,0.0,0.0
2011-09-27,4.21,0.06,1.33,4.27,46590.0,4.27,4.27,4.21,0.0,0.0,0.0
2011-09-28,4.27,0.0,0.0,4.27,21670.0,4.27,4.44,4.27,0.0,0.0,0.0
2011-09-29,4.27,-0.11,-2.63,4.16,39000.0,4.16,4.27,4.1,0.0,0.0,0.0
2011-09-30,4.16,0.11,2.7,4.27,5540.0,4.32,4.32,4.1,0.0,0.0,0.0
2011-10-03,4.27,-0.11,-2.63,4.16,15850.0,4.1,4.16,4.1,0.0,0.0,0.0
2011-10-04,4.16,-0.17,-4.05,3.99,7510.0,4.16,4.16,3.99,0.0,300.0,0.0
2011-10-05,3.99,0.11,2.82,4.1,12650.0,3.93,4.1,3.93,0.0,0.0,0.0
2011-10-06,4.1,0.06,1.37,4.16,7550.0,4.16,4.16,4.1,0.0,0.0,0.0
2011-10-07,4.16,-0.06,-1.35,4.1,43730.0,4.21,4.21,4.04,0.0,0.0,0.0
2011-10-10,4.1,-0.06,-1.37,4.04,28560.0,3.99,4.04,3.99,0.0,0.0,0.0
2011-10-11,4.04,0.0,0.0,4.04,10000.0,4.04,4.04,3.99,0.0,0.0,0.0
2011-10-12,4.04,-0.17,-4.17,3.88,30620.0,3.99,3.99,3.88,0.0,0.0,0.0
2011-10-13,3.88,0.06,1.45,3.93,5230.0,3.76,3.93,3.76,0.0,0.0,0.0
2011-10-14,3.93,0.0,0.0,3.93,14180.0,3.93,4.04,3.93,0.0,0.0,0.0
2011-10-17,3.93,0.06,1.43,3.99,24100.0,3.99,4.04,3.99,0.0,0.0,0.0
2011-10-18,3.99,-0.11,-2.82,3.88,9620.0,3.99,3.99,3.88,0.0,0.0,0.0
2011-10-19,3.88,-0.06,-1.45,3.82,6440.0,3.82,3.88,3.82,0.0,0.0,0.0
2011-10-20,3.82,-0.06,-1.47,3.76,13980.0,3.88,3.93,3.76,0.0,0.0,0.0
2011-10-21,3.76,0.17,4.48,3.93,15910.0,3.76,3.93,3.76,0.0,0.0,0.0
2011-10-24,3.93,-0.11,-2.86,3.82,15760.0,3.88,3.99,3.82,0.0,0.0,0.0
2011-10-25,3.82,-0.11,-2.94,3.71,25240.0,3.71,3.82,3.71,0.0,0.0,0.0
2011-10-26,3.71,-0.17,-4.55,3.54,100650.0,3.65,3.65,3.54,0.0,0.0,0.0
2011-10-27,3.54,0.0,0.0,3.54,2300.0,3.54,3.65,3.54,0.0,0.0,0.0
2011-10-28,3.54,0.06,1.59,3.59,21500.0,3.59,3.65,3.43,0.0,0.0,0.0
2011-10-31,3.59,-0.11,-3.12,3.48,16180.0,3.65,3.65,3.48,0.0,0.0,0.0
2011-11-01,3.48,-0.17,-4.84,3.31,99100.0,3.59,3.59,3.31,0.0,0.0,0.0
2011-11-02,3.31,0.06,1.7,3.37,11880.0,3.37,3.37,3.31,0.0,0.0,0.0
2011-11-03,3.37,0.0,0.0,3.37,32640.0,3.37,3.37,3.31,0.0,0.0,0.0
2011-11-04,3.37,0.0,0.0,3.37,160940.0,3.43,3.43,3.31,0.0,7000.0,0.0
2011-11-07,3.37,-0.06,-1.67,3.31,39240.0,3.37,3.37,3.31,0.0,0.0,0.0
2011-11-08,3.31,0.0,0.0,3.31,13900.0,3.37,3.37,3.26,0.0,0.0,0.0
2011-11-09,3.31,0.06,1.7,3.37,47990.0,3.37,3.37,3.31,0.0,0.0,0.0
2011-11-10,3.37,0.0,0.0,3.37,34520.0,3.37,3.37,3.31,0.0,0.0,0.0
2011-11-11,3.37,0.0,0.0,3.37,83010.0,3.37,3.43,3.37,0.0,0.0,0.0
2011-11-14,3.37,0.11,3.33,3.48,152620.0,3.43,3.48,3.43,0.0,0.0,0.0
2011-11-15,3.48,0.17,4.84,3.65,207370.0,3.65,3.65,3.59,0.0,0.0,0.0
2011-11-16,3.65,0.17,4.62,3.82,231820.0,3.76,3.82,3.76,0.0,0.0,0.0
2011-11-17,3.82,0.11,2.94,3.93,52960.0,3.88,3.93,3.82,0.0,0.0,0.0
2011-11-18,3.93,0.0,0.0,3.93,80140.0,3.99,3.99,3.82,0.0,0.0,0.0
2011-11-21,3.93,-0.17,-4.29,3.76,52710.0,3.82,3.93,3.76,0.0,0.0,0.0
2011-11-22,3.76,-0.06,-1.49,3.71,119220.0,3.65,3.76,3.59,0.0,0.0,0.0
2011-11-23,3.71,0.06,1.51,3.76,16140.0,3.71,3.76,3.54,90000.0,0.0,0.0
2011-11-24,3.76,-0.06,-1.49,3.71,30170.0,3.76,3.76,3.65,0.0,0.0,7000.0
2011-11-25,3.71,-0.17,-4.55,3.54,5660.0,3.65,3.65,3.54,0.0,0.0,0.0
2011-11-28,3.54,0.06,1.59,3.59,49120.0,3.54,3.59,3.54,0.0,0.0,0.0
2011-11-29,3.59,0.06,1.56,3.65,42500.0,3.59,3.65,3.59,100000.0,0.0,0.0
2011-11-30,3.65,0.0,0.0,3.65,29610.0,3.59,3.65,3.59,0.0,0.0,0.0
2011-12-01,3.65,0.0,0.0,3.65,86140.0,3.71,3.71,3.59,0.0,0.0,0.0
2011-12-02,3.65,0.0,0.0,3.65,89200.0,3.65,3.71,3.59,0.0,0.0,0.0
2011-12-05,3.65,0.17,4.62,3.82,50970.0,3.71,3.82,3.71,0.0,0.0,0.0
2011-12-06,3.82,0.0,0.0,3.82,98110.0,3.82,3.82,3.71,0.0,0.0,0.0
2011-12-07,3.82,0.11,2.94,3.93,79940.0,3.82,3.93,3.82,0.0,0.0,0.0
2011-12-08,3.93,0.06,1.43,3.99,20180.0,3.99,3.99,3.93,0.0,0.0,0.0
2011-12-09,3.99,-0.06,-1.41,3.93,9180.0,3.93,3.93,3.82,0.0,0.0,0.0
2011-12-12,3.93,0.0,0.0,3.93,13000.0,3.88,3.93,3.88,0.0,0.0,0.0
