code,date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transactions,foreign_buy,foreign_sell
CRE,2018-09-05,13.34,0.0,0.0,13.34,697470.0,13.62,13.62,12.63,0.0,0.0,0.0
CRE,2018-09-06,13.34,0.0,0.0,13.34,332460.0,12.8,13.34,12.8,0.0,0.0,0.0
CRE,2018-09-07,13.34,0.06,0.43,13.4,276640.0,13.34,13.48,13.2,0.0,0.0,0.0
CRE,2018-09-10,13.4,-0.2,-1.48,13.2,127280.0,13.08,13.4,13.06,0.0,0.0,0.0
CRE,2018-09-11,13.2,0.09,0.64,13.28,252160.0,13.11,13.28,13.0,20000.0,0.0,0.0
CRE,2018-09-12,13.28,-0.23,-1.71,13.06,28030.0,13.28,13.28,13.03,0.0,0.0,0.0
CRE,2018-09-13,13.06,-0.51,-3.91,12.54,136940.0,13.0,13.0,12.2,0.0,0.0,0.0
CRE,2018-09-14,12.54,-0.43,-3.39,12.12,494030.0,12.53,12.54,12.06,0.0,0.0,0.0
CRE,2018-09-17,12.12,-0.17,-1.4,11.95,155060.0,12.18,12.2,11.68,0.0,0.0,0.0
CRE,2018-09-18,11.95,0.34,2.85,12.29,236840.0,11.95,12.29,11.78,0.0,0.0,0.0
CRE,2018-09-19,12.29,0.6,4.85,12.88,369050.0,12.23,12.94,12.23,0.0,5000.0,0.0
CRE,2018-09-20,12.88,0.06,0.44,12.94,74690.0,12.88,13.14,12.88,0.0,0.0,0.0
CRE,2018-09-21,12.94,-0.11,-0.88,12.83,120710.0,12.8,12.83,12.69,0.0,110.0,0.0
CRE,2018-09-24,12.83,-0.58,-4.54,12.25,168300.0,12.35,12.77,12.18,0.0,2090.0,0.0
CRE,2018-09-25,12.25,0.0,0.0,12.25,41650.0,12.74,12.74,12.2,0.0,2090.0,0.0
CRE,2018-09-26,12.25,-0.01,-0.12,12.23,27170.0,12.25,12.46,12.2,0.0,0.0,0.0
CRE,2018-09-27,12.23,-0.28,-2.32,11.95,112200.0,12.13,12.2,11.92,0.0,0.0,0.0
CRE,2018-09-28,11.95,0.26,2.14,12.2,18270.0,12.2,12.2,12.01,50000.0,0.0,0.0
CRE,2018-10-01,12.2,0.0,0.0,12.2,59710.0,12.2,12.33,12.06,0.0,0.0,0.0
CRE,2018-10-02,12.2,-0.14,-1.16,12.06,93500.0,12.09,12.2,11.92,0.0,0.0,0.0
CRE,2018-10-03,12.06,-0.03,-0.24,12.03,110520.0,12.0,12.06,11.92,0.0,3000.0,0.0
CRE,2018-10-04,12.03,-0.11,-0.94,11.92,98740.0,12.06,12.06,11.92,0.0,9000.0,0.0
CRE,2018-10-05,11.92,0.14,1.19,12.06,138020.0,11.92,12.06,11.86,0.0,0.0,0.0
CRE,2018-10-08,12.06,0.0,0.0,12.06,138950.0,12.12,12.12,11.95,0.0,3850.0,0.0
CRE,2018-10-09,12.06,0.11,0.94,12.18,228760.0,12.0,12.2,12.0,0.0,42960.0,0.0
CRE,2018-10-10,12.18,0.03,0.23,12.2,188300.0,12.15,12.23,12.15,0.0,0.0,0.0
CRE,2018-10-11,12.2,-0.13,-1.05,12.08,297170.0,12.09,12.18,11.92,0.0,0.0,0.0
CRE,2018-10-12,12.08,0.07,0.59,12.15,179930.0,12.0,12.18,12.0,0.0,0.0,0.0
CRE,2018-10-15,12.15,0.09,0.7,12.23,286890.0,12.12,12.23,12.03,0.0,84950.0,0.0
CRE,2018-10-16,12.23,0.03,0.23,12.26,277350.0,12.18,12.26,12.15,0.0,79240.0,0.0
CRE,2018-10-17,12.26,-0.03,-0.23,12.23,258900.0,12.26,12.35,12.18,0.0,10000.0,0.0
CRE,2018-10-18,12.23,0.0,0.0,12.23,179440.0,12.18,12.23,12.15,0.0,0.0,0.0
CRE,2018-10-19,12.23,0.0,0.0,12.23,231390.0,12.2,12.32,12.18,0.0,0.0,0.0
CRE,2018-10-22,12.23,-0.06,-0.46,12.18,171130.0,12.23,12.26,12.18,0.0,0.0,0.0
CRE,2018-10-23,12.18,-0.03,-0.23,12.15,163030.0,12.18,12.18,12.09,0.0,0.0,0.0
CRE,2018-10-24,12.15,-0.06,-0.47,12.09,125540.0,12.15,12.15,12.06,0.0,50.0,20.0
CRE,2018-10-25,12.09,-0.14,-1.17,11.95,82440.0,11.98,12.03,11.89,0.0,0.0,0.0
CRE,2018-10-26,11.95,0.06,0.47,12.0,111330.0,11.95,12.06,11.92,0.0,0.0,0.0
CRE,2018-10-29,12.0,-0.09,-0.71,11.92,90900.0,12.0,12.06,11.86,0.0,0.0,20330.0
CRE,2018-10-30,11.92,-0.23,-1.91,11.69,125980.0,11.92,11.92,11.69,0.0,0.0,2490.0
CRE,2018-10-31,11.69,0.11,0.97,11.81,137470.0,11.69,11.92,11.69,0.0,0.0,2160.0
