code,date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transactions,foreign_buy,foreign_sell
D2D,2009-08-14,6.74,0.0,0.0,6.74,320950.0,6.74,6.74,6.74,0.0,32700.0,0.0
D2D,2009-08-17,6.74,-0.27,-3.96,6.48,86630.0,6.88,6.88,6.48,120000.0,150.0,0.0
D2D,2009-08-18,6.48,0.06,0.87,6.53,49070.0,6.19,6.8,6.18,0.0,0.0,0.0
D2D,2009-08-19,6.53,0.07,1.07,6.6,30300.0,6.73,6.73,6.46,0.0,0.0,0.0
D2D,2009-08-20,6.6,-0.15,-2.34,6.45,148730.0,6.46,6.52,6.39,0.0,0.0,0.0
D2D,2009-08-21,6.45,0.22,3.49,6.67,241130.0,6.46,6.67,6.46,0.0,0.0,10000.0
D2D,2009-08-24,6.67,0.04,0.63,6.71,91680.0,6.74,6.74,6.67,20000.0,0.0,3340.0
D2D,2009-08-25,6.71,0.0,0.0,6.71,34270.0,6.71,6.71,6.6,0.0,0.0,1000.0
D2D,2009-08-26,6.71,-0.04,-0.63,6.67,82880.0,6.73,6.74,6.67,0.0,0.0,0.0
D2D,2009-08-27,6.67,-0.07,-1.05,6.6,91230.0,6.59,6.67,6.53,0.0,0.0,0.0
D2D,2009-08-28,6.6,0.32,4.89,6.92,474080.0,6.6,6.92,6.6,0.0,0.0,0.0
D2D,2009-08-31,6.92,0.31,4.46,7.23,156800.0,7.23,7.23,7.23,0.0,1500.0,0.0
D2D,2009-09-01,7.23,0.35,4.86,7.59,347200.0,7.59,7.59,7.37,0.0,0.0,0.0
D2D,2009-09-02,7.59,0.0,0.0,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2D,2009-09-03,7.59,0.28,3.7,7.87,248700.0,7.44,7.87,7.37,0.0,1000.0,0.0
D2D,2009-09-04,7.87,-0.35,-4.46,7.51,112340.0,7.87,7.87,7.51,0.0,320.0,0.0
D2D,2009-09-07,7.51,-0.28,-3.74,7.23,252680.0,7.37,7.44,7.16,0.0,0.0,0.0
D2D,2009-09-08,7.23,0.07,0.97,7.3,90870.0,7.44,7.44,7.23,0.0,0.0,0.0
D2D,2009-09-09,7.3,-0.28,-3.85,7.02,63070.0,7.3,7.3,6.97,0.0,0.0,230.0
D2D,2009-09-10,7.02,0.0,0.0,7.02,80250.0,7.02,7.3,6.94,0.0,3000.0,0.0
D2D,2009-09-11,7.02,0.35,5.0,7.37,303550.0,7.23,7.37,7.02,0.0,0.0,70000.0
D2D,2009-09-14,7.37,0.07,0.95,7.44,169370.0,7.37,7.73,7.37,0.0,0.0,0.0
D2D,2009-09-15,7.44,0.0,0.0,7.44,173330.0,7.37,7.44,7.16,0.0,0.0,0.0
D2D,2009-09-16,7.44,-0.28,-3.77,7.16,106760.0,7.37,7.37,7.16,0.0,0.0,0.0
D2D,2009-09-17,7.16,-0.14,-1.96,7.02,190050.0,7.3,7.3,6.91,0.0,0.0,0.0
D2D,2009-09-18,7.02,0.14,2.0,7.16,330750.0,7.02,7.23,7.0,0.0,0.0,0.0
D2D,2009-09-21,7.16,0.35,4.9,7.51,195890.0,7.37,7.51,7.23,0.0,0.0,0.0
D2D,2009-09-22,7.51,0.35,4.67,7.87,525410.0,7.58,7.87,7.44,0.0,20.0,0.0
D2D,2009-09-23,7.87,-0.35,-4.46,7.51,254430.0,7.87,7.94,7.51,0.0,200.0,10000.0
D2D,2009-09-24,7.51,-0.21,-2.8,7.3,108880.0,7.37,7.44,7.23,0.0,500.0,1000.0
D2D,2009-09-25,7.3,0.14,1.92,7.44,267940.0,7.44,7.58,7.3,0.0,500.0,0.0
D2D,2009-09-28,7.44,0.35,4.72,7.8,104250.0,7.8,7.8,7.8,0.0,0.0,0.0
D2D,2009-09-29,7.8,0.07,0.9,7.87,550090.0,8.15,8.15,7.8,0.0,100.0,0.0
D2D,2009-09-30,7.87,0.0,0.0,7.87,506590.0,7.87,8.08,7.66,0.0,0.0,202700.0
D2D,2009-10-01,7.87,-0.28,-3.57,7.59,351110.0,7.8,7.87,7.59,0.0,5000.0,50300.0
D2D,2009-10-02,7.59,-0.28,-3.7,7.3,282930.0,7.3,7.51,7.23,0.0,0.0,21300.0
D2D,2009-10-05,7.3,0.14,1.92,7.44,255330.0,7.37,7.66,7.3,0.0,0.0,80000.0
D2D,2009-10-06,7.44,0.35,4.72,7.8,269080.0,7.66,7.8,7.51,0.0,0.0,98000.0
D2D,2009-10-07,7.8,0.35,4.51,8.15,409020.0,8.15,8.15,8.08,0.0,520.0,960.0
D2D,2009-10-08,8.15,0.35,4.31,8.5,107060.0,8.5,8.5,8.5,0.0,0.0,0.0
D2D,2009-10-09,8.5,0.42,4.96,8.92,130950.0,8.92,8.92,8.92,0.0,0.0,0.0
D2D,2009-10-12,8.92,0.42,4.72,9.34,32530.0,9.34,9.34,9.34,0.0,0.0,0.0
D2D,2009-10-13,9.34,0.42,4.51,9.76,91570.0,9.76,9.76,9.76,164020.0,0.0,0.0
D2D,2009-10-14,9.76,0.42,4.32,10.18,820890.0,10.18,10.18,10.04,24170.0,41300.0,1600.0
D2D,2009-10-15,10.18,0.49,4.83,10.68,645870.0,10.68,10.68,10.39,0.0,59200.0,0.0
D2D,2009-10-16,10.68,-0.49,-4.61,10.18,271610.0,10.53,10.68,10.18,0.0,340.0,1700.0
D2D,2009-10-19,10.18,-0.49,-4.83,9.69,355450.0,9.83,10.18,9.69,0.0,0.0,0.0
D2D,2009-10-20,9.69,0.42,4.35,10.11,388710.0,9.76,10.11,9.55,0.0,0.0,0.0
