code,date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transactions,foreign_buy,foreign_sell
VTP,2018-11-23,47.44,0.0,0.0,47.44,300.0,47.44,47.44,47.44,0.0,0.0,0.0
VTP,2018-11-26,47.44,7.08,14.92,54.51,27094.0,54.51,54.51,54.51,0.0,0.0,0.0
VTP,2018-11-27,54.51,8.17,14.99,62.69,537111.0,57.8,62.69,57.3,0.0,0.0,0.0
VTP,2018-11-28,62.69,-1.1,-1.75,61.59,222479.0,61.79,62.54,59.85,0.0,0.0,0.0
VTP,2018-11-29,61.59,-0.5,-0.81,61.09,73164.0,59.8,61.29,59.8,0.0,0.0,0.0
VTP,2018-11-30,61.09,1.2,1.96,62.29,231733.0,60.49,62.79,60.29,0.0,0.0,0.0
VTP,2018-12-03,62.29,3.39,5.44,65.68,319690.0,62.29,65.73,61.64,0.0,0.0,0.0
VTP,2018-12-04,65.68,-2.49,-3.79,63.18,68512.0,65.28,65.28,63.04,0.0,0.0,0.0
VTP,2018-12-05,63.18,-0.65,-1.03,62.54,52206.0,63.04,63.18,62.29,0.0,0.0,0.0
VTP,2018-12-06,62.54,-0.1,-0.16,62.44,37708.0,62.79,62.84,62.29,0.0,0.0,0.0
VTP,2018-12-07,62.44,1.1,1.76,63.53,80191.0,63.28,63.88,62.29,0.0,0.0,0.0
VTP,2018-12-10,63.53,-0.25,-0.39,63.28,20121.0,64.78,64.78,63.04,0.0,0.0,0.0
VTP,2018-12-11,63.28,-0.1,-0.16,63.18,30281.0,64.28,64.28,62.89,0.0,0.0,0.0
VTP,2018-12-12,63.18,0.6,0.95,63.78,83476.0,63.04,64.28,62.99,0.0,0.0,0.0
VTP,2018-12-13,63.78,0.0,0.0,63.78,76827.0,63.78,64.03,63.18,0.0,0.0,0.0
VTP,2018-12-14,63.78,-0.5,-0.78,63.28,44141.0,63.28,63.33,62.79,0.0,0.0,0.0
VTP,2018-12-17,63.28,-0.55,-0.87,62.74,78264.0,62.79,62.79,62.29,0.0,0.0,0.0
VTP,2018-12-18,62.74,-0.45,-0.71,62.29,103463.0,62.29,62.74,61.79,0.0,84800.0,12040.0
VTP,2018-12-19,62.29,-1.0,-1.6,61.29,48025.0,62.29,62.29,61.04,12000.0,20500.0,100.0
VTP,2018-12-20,61.29,1.99,3.25,63.28,120522.0,61.49,63.78,61.49,2800000.0,2810800.0,90.0
VTP,2018-12-21,63.28,0.85,1.34,64.13,228817.0,63.28,64.13,62.89,0.0,94660.0,0.0
VTP,2018-12-24,64.13,-0.65,-1.01,63.48,57530.0,63.68,63.78,62.54,0.0,16000.0,4500.0
VTP,2018-12-25,63.48,-0.25,-0.39,63.23,40364.0,62.49,63.23,62.29,0.0,23700.0,7100.0
VTP,2018-12-26,63.23,-0.8,-1.26,62.44,25390.0,62.79,63.08,62.39,0.0,18943.0,2800.0
VTP,2018-12-27,62.44,1.35,2.15,63.78,157114.0,62.64,64.08,62.64,0.0,132300.0,400.0
VTP,2018-12-28,63.78,1.15,1.8,64.93,195413.0,64.03,64.93,63.53,0.0,184400.0,1700.0
VTP,2019-01-02,64.93,0.6,0.92,65.53,194456.0,64.43,66.02,64.28,2615.0,103700.0,0.0
VTP,2019-01-03,65.53,-0.75,-1.14,64.78,69816.0,65.28,65.28,64.78,0.0,0.0,0.0
VTP,2019-01-04,64.78,0.0,0.0,64.78,44320.0,64.33,65.03,64.28,0.0,7800.0,0.0
VTP,2019-01-07,64.78,0.85,1.31,65.63,60058.0,64.78,65.63,64.78,0.0,0.0,0.0
VTP,2019-01-08,65.63,-0.75,-1.14,64.88,34685.0,65.28,65.38,64.78,0.0,0.0,0.0
VTP,2019-01-09,64.88,0.4,0.61,65.28,47870.0,64.78,65.28,64.28,0.0,0.0,0.0
VTP,2019-01-10,65.28,2.34,3.59,67.62,197524.0,64.98,68.77,64.93,0.0,101800.0,2000.0
VTP,2019-01-11,67.62,2.39,3.54,70.01,137356.0,69.26,70.01,68.02,0.0,101800.0,2000.0
VTP,2019-01-14,70.01,1.99,2.85,72.0,139579.0,70.26,72.2,69.76,0.0,36300.0,1000.0
VTP,2019-01-15,72.0,-1.25,-1.73,70.76,241318.0,71.51,71.51,60.79,40000.0,124000.0,45000.0
VTP,2019-01-16,70.76,4.43,6.27,75.19,85160.0,70.76,75.24,70.76,0.0,56410.0,3400.0
VTP,2019-01-17,75.19,2.04,2.72,77.24,178928.0,73.75,78.73,73.75,0.0,118400.0,36110.0
VTP,2019-01-18,77.24,0.0,0.0,77.24,137173.0,74.75,77.54,74.75,0.0,118400.0,36110.0
VTP,2019-01-21,77.24,-1.59,-2.06,75.64,101385.0,77.19,77.19,74.0,0.0,75800.0,30200.0
VTP,2019-01-22,75.64,0.8,1.05,76.44,152546.0,77.19,77.19,75.74,0.0,75800.0,30200.0
VTP,2019-01-23,76.44,0.05,0.07,76.49,34923.0,77.19,77.19,75.74,0.0,135320.0,100000.0
VTP,2019-01-24,76.49,0.75,0.98,77.24,91611.0,76.19,77.73,76.19,0.0,83300.0,0.0
VTP,2019-01-25,77.24,0.0,0.0,77.24,55181.0,77.24,77.34,76.24,99.0,47300.0,100.0
VTP,2019-01-28,77.24,-0.25,-0.32,76.99,42313.0,77.24,77.34,76.24,99700.0,127451.0,59700.0
VTP,2019-01-29,76.99,0.1,0.13,77.09,16496.0,76.24,77.09,75.74,0.0,6700.0,0.0
VTP,2019-01-30,77.09,0.1,0.13,77.19,31047.0,77.24,77.24,76.69,0.0,15700.0,0.0
VTP,2019-01-31,77.19,5.03,6.52,82.22,120731.0,77.24,83.07,77.24,0.0,15700.0,0.0
VTP,2019-02-01,82.22,1.45,1.76,83.66,9500.0,80.72,83.71,80.72,0.0,64900.0,12360.0
VTP,2019-02-11,83.66,3.49,4.17,87.15,20326.0,83.71,87.2,83.66,0.0,11721.0,1000.0
VTP,2019-02-12,87.15,-3.44,-3.95,83.71,143011.0,84.71,86.8,81.72,0.0,11721.0,1000.0
VTP,2019-02-13,83.71,0.5,0.6,84.21,23972.0,82.22,84.76,81.22,0.0,13500.0,550.0
VTP,2019-02-14,84.21,0.9,1.07,85.11,16980.0,83.96,85.11,83.96,37000.0,45400.0,30600.0
VTP,2019-02-15,85.11,-0.85,-1.0,84.26,35126.0,84.96,85.71,84.21,0.0,45400.0,30600.0
VTP,2019-02-18,84.26,0.2,0.24,84.46,44880.0,85.11,85.16,82.72,0.0,22400.0,500.0
VTP,2019-02-19,84.46,0.35,0.41,84.81,50057.0,83.81,85.21,83.81,0.0,23500.0,20400.0
VTP,2019-02-20,84.81,-0.1,-0.12,84.71,46403.0,84.71,85.71,84.71,0.0,23500.0,20400.0
VTP,2019-02-21,84.71,1.49,1.76,86.21,83754.0,84.71,87.7,84.71,0.0,23640.0,19900.0
VTP,2019-02-22,86.21,-0.05,-0.06,86.16,15930.0,87.2,87.3,85.71,0.0,400.0,100.0
VTP,2019-02-25,86.16,-1.69,-1.97,84.46,31650.0,86.46,86.46,83.71,0.0,7900.0,1200.0
VTP,2019-02-26,84.46,2.24,2.65,86.7,40656.0,84.36,86.7,84.26,0.0,7900.0,1200.0
VTP,2019-02-27,86.7,-1.0,-1.15,85.71,9291.0,87.2,87.2,85.71,0.0,30.0,2000.0
VTP,2019-02-28,85.71,0.5,0.58,86.21,15510.0,86.21,86.21,84.71,0.0,1400.0,0.0
VTP,2019-03-01,86.21,0.5,0.58,86.7,29002.0,86.16,86.7,85.96,0.0,1.0,11.0
VTP,2019-03-04,86.7,0.5,0.57,87.2,65976.0,86.7,87.7,86.7,0.0,26200.0,0.0
VTP,2019-03-05,87.2,0.6,0.69,87.8,38570.0,87.2,87.95,87.2,0.0,22800.0,100.0
VTP,2019-03-06,87.8,2.89,3.29,90.69,58599.0,87.7,90.84,87.7,5200.0,26600.0,0.0
VTP,2019-03-07,90.69,2.49,2.75,93.18,145657.0,90.94,94.43,90.94,0.0,84700.0,62847.0
VTP,2019-03-08,93.18,0.0,0.0,93.18,43238.0,93.18,93.68,92.43,0.0,24200.0,0.0
VTP,2019-03-11,93.18,1.94,2.09,95.13,55621.0,94.68,95.92,92.19,0.0,21445.0,0.0
VTP,2019-03-12,95.13,3.04,3.2,98.17,123967.0,94.68,98.71,94.38,100000.0,154700.0,130200.0
VTP,2019-03-13,98.17,0.45,0.46,98.61,121619.0,98.66,100.16,97.32,0.0,154700.0,130200.0
VTP,2019-03-14,98.61,-1.3,-1.31,97.32,70569.0,98.17,98.41,96.17,30000.0,80900.0,70320.0
