code,date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transactions,foreign_buy,foreign_sell
AAA,2010-07-15,10.66,0.0,0.0,10.66,174100.0,10.66,11.6,10.5,0.0,0.0,0.0
AAA,2010-07-16,10.66,-0.48,-4.52,10.17,109200.0,10.66,10.83,10.17,0.0,0.0,0.0
AAA,2010-07-19,10.17,-0.04,-0.43,10.13,104900.0,10.17,10.83,10.13,40000.0,0.0,0.0
AAA,2010-07-20,10.13,-0.24,-2.38,9.89,328700.0,10.13,10.5,9.74,0.0,0.0,0.0
AAA,2010-07-21,9.89,-0.02,-0.22,9.87,75800.0,9.89,9.93,9.63,20000.0,0.0,0.0
AAA,2010-07-22,9.87,0.0,0.0,9.87,147200.0,9.87,10.5,9.85,0.0,0.0,0.0
AAA,2010-07-23,9.87,0.2,2.0,10.06,115800.0,9.87,10.39,10.02,0.0,0.0,0.0
AAA,2010-07-26,10.06,-0.2,-1.96,9.87,131700.0,10.06,10.24,9.85,100000.0,0.0,0.0
AAA,2010-07-27,9.87,0.22,2.22,10.09,112900.0,9.87,10.28,9.93,20000.0,0.0,0.0
AAA,2010-07-28,10.09,-0.24,-2.39,9.85,64300.0,10.09,10.26,9.85,100000.0,0.0,0.0
AAA,2010-07-29,9.85,0.88,8.89,10.72,509100.0,9.85,10.72,9.8,0.0,0.0,0.0
AAA,2010-07-30,10.72,0.33,3.06,11.05,346300.0,10.72,11.07,10.41,135000.0,0.0,91000.0
AAA,2010-08-02,11.05,-0.37,-3.37,10.68,682800.0,11.05,11.38,10.68,10500.0,0.0,502500.0
AAA,2010-08-03,10.68,0.09,0.82,10.76,405000.0,10.68,11.14,10.68,0.0,2200.0,94100.0
AAA,2010-08-04,10.76,0.18,1.63,10.94,245000.0,10.76,10.94,10.04,0.0,0.0,9000.0
AAA,2010-08-05,10.94,-0.44,-4.0,10.5,169100.0,10.94,10.94,10.5,0.0,0.0,4300.0
AAA,2010-08-06,10.5,0.22,2.08,10.72,150000.0,10.5,10.79,10.72,430500.0,0.0,10600.0
AAA,2010-08-09,10.72,-0.44,-4.08,10.28,173500.0,10.72,10.79,10.22,0.0,0.0,6500.0
AAA,2010-08-10,10.28,-0.42,-4.04,9.87,122300.0,10.28,10.7,9.76,0.0,0.0,0.0
AAA,2010-08-11,9.87,-0.15,-1.55,9.71,168100.0,9.87,9.87,9.28,30000.0,0.0,1200.0
AAA,2010-08-12,9.71,-0.53,-5.41,9.19,81800.0,9.71,9.71,9.1,105000.0,0.0,0.0
AAA,2010-08-13,9.19,0.55,5.95,9.74,53500.0,9.19,9.74,9.41,250000.0,0.0,0.0
AAA,2010-08-16,9.74,0.48,4.94,10.22,31200.0,9.74,10.22,10.2,0.0,0.0,0.0
AAA,2010-08-17,10.22,0.11,1.07,10.33,89200.0,10.22,10.66,10.06,0.0,0.0,5000.0
AAA,2010-08-18,10.33,-0.59,-5.72,9.74,80400.0,10.33,10.33,9.61,250000.0,0.0,0.0
AAA,2010-08-19,9.74,0.7,7.19,10.44,225100.0,9.74,10.44,9.32,5000.0,0.0,28000.0
AAA,2010-08-20,10.44,0.57,5.45,11.01,449300.0,10.44,11.01,10.39,0.0,0.0,10000.0
AAA,2010-08-23,11.01,0.66,5.96,11.66,423300.0,11.01,11.66,10.9,0.0,0.0,0.0
AAA,2010-08-24,11.66,0.77,6.57,12.43,242100.0,11.66,12.43,11.62,250000.0,0.0,0.0
AAA,2010-08-25,12.43,-0.22,-1.76,12.21,271100.0,12.43,13.06,12.19,400000.0,0.0,5600.0
AAA,2010-08-26,12.21,0.59,4.84,12.8,717100.0,12.21,13.72,11.92,0.0,0.0,125000.0
