code,date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transactions,foreign_buy,foreign_sell
aat,2021-04-12,12.93,0.0,0.0,12.93,942700.0,12.33,12.93,12.33,0.0,0.0,0.0
aat,2021-04-13,12.93,0.52,3.99,13.44,1149700.0,13.62,13.66,12.97,0.0,6200.0,400.0
aat,2021-04-14,13.44,-0.09,-0.64,13.36,997300.0,13.32,13.62,13.32,0.0,1000.0,0.0
aat,2021-04-15,13.36,0.3,2.25,13.66,770300.0,13.4,13.92,13.23,0.0,400.0,0.0
aat,2021-04-16,13.66,0.52,3.77,14.17,370600.0,14.17,14.17,13.66,0.0,500.0,2000.0
aat,2021-04-19,14.17,-0.26,-1.82,13.92,509900.0,14.52,14.52,13.74,0.0,0.0,0.0
aat,2021-04-20,13.92,0.52,3.7,14.43,771600.0,13.74,14.86,13.7,0.0,0.0,0.0
aat,2021-04-22,14.43,-0.69,-4.76,13.74,730200.0,14.78,15.29,13.74,0.0,3300.0,0.0
aat,2021-04-23,13.74,0.95,6.88,14.69,878100.0,13.66,14.69,13.66,0.0,0.0,0.0
aat,2021-04-26,14.69,-0.26,-1.76,14.43,858400.0,15.12,15.33,14.17,0.0,0.0,0.0
aat,2021-04-27,14.43,0.0,0.0,14.43,282200.0,14.43,15.03,14.26,0.0,0.0,0.0
aat,2021-04-28,14.43,0.09,0.6,14.52,375200.0,14.05,14.78,14.05,0.0,0.0,0.0
aat,2021-04-29,14.52,-0.13,-0.89,14.39,213900.0,14.52,14.6,14.39,0.0,0.0,0.0
aat,2021-05-04,14.39,-0.21,-1.49,14.17,386700.0,13.92,14.39,13.83,0.0,0.0,0.0
aat,2021-05-05,14.17,0.99,6.97,15.16,610300.0,14.09,15.16,13.96,0.0,1300.0,3000.0
aat,2021-05-06,15.16,0.82,5.38,15.98,945200.0,15.85,16.15,15.03,0.0,1000.0,0.0
aat,2021-05-07,15.98,-0.34,-2.15,15.63,800100.0,15.63,16.15,15.12,0.0,1000.0,0.0
aat,2021-05-10,15.63,-0.17,-1.1,15.46,320500.0,15.12,15.98,14.95,0.0,200.0,0.0
aat,2021-05-11,15.46,0.17,1.11,15.63,184700.0,15.46,15.68,15.38,0.0,0.0,0.0
aat,2021-05-12,15.63,-0.09,-0.55,15.55,533400.0,15.29,16.15,15.29,0.0,100.0,0.0
aat,2021-05-13,15.55,1.07,6.91,16.62,1265900.0,15.46,16.62,15.2,0.0,0.0,0.0
aat,2021-05-14,16.62,0.86,5.17,17.48,1472100.0,17.35,17.52,16.58,0.0,500.0,0.0
aat,2021-05-17,17.48,-0.47,-2.7,17.01,887800.0,17.87,17.87,16.62,0.0,3500.0,0.0
aat,2021-05-18,17.01,-0.17,-1.01,16.84,738100.0,16.84,17.27,16.58,0.0,3500.0,0.0
aat,2021-05-19,16.84,0.99,5.87,17.82,774900.0,16.62,17.87,16.62,0.0,0.0,0.0
aat,2021-05-20,17.82,0.64,3.61,18.47,972900.0,17.82,18.73,17.22,0.0,3100.0,500.0
aat,2021-05-21,18.47,-0.43,-2.33,18.04,470100.0,18.04,18.38,17.87,0.0,3100.0,500.0
aat,2021-05-24,18.04,-0.21,-1.19,17.82,522200.0,17.7,18.04,17.4,0.0,100.0,0.0
aat,2021-05-25,17.82,-0.09,-0.48,17.74,404300.0,17.74,17.95,17.31,0.0,100.0,0.0
aat,2021-05-26,17.74,-0.34,-1.94,17.4,476100.0,17.61,17.74,17.22,0.0,600.0,0.0
aat,2021-05-27,17.4,-0.64,-3.7,16.75,2030100.0,17.61,17.87,16.19,0.0,1100.0,0.0
aat,2021-05-28,16.75,0.26,1.54,17.01,594000.0,16.84,17.09,16.32,0.0,100.0,0.0
aat,2021-05-31,17.01,-0.26,-1.52,16.75,335800.0,17.01,17.35,16.49,0.0,0.0,1000.0
aat,2021-06-01,16.75,0.0,0.0,16.75,249500.0,16.75,16.92,16.32,0.0,200.0,0.0
aat,2021-06-02,16.75,-0.17,-1.03,16.58,392100.0,16.32,16.67,16.24,0.0,0.0,0.0
aat,2021-06-03,16.58,0.17,1.04,16.75,260700.0,16.58,16.92,16.58,0.0,0.0,0.0
aat,2021-06-04,16.75,-0.04,-0.26,16.71,460400.0,16.36,16.75,16.32,82000.0,0.0,1000.0
aat,2021-06-07,16.71,0.13,0.77,16.84,687900.0,16.49,16.84,15.98,0.0,300.0,6700.0
aat,2021-06-08,16.84,0.17,1.02,17.01,710200.0,16.84,17.14,16.11,0.0,0.0,500.0
aat,2021-06-09,17.01,0.13,0.76,17.14,458500.0,17.14,17.18,16.71,0.0,0.0,0.0
aat,2021-06-10,17.14,-0.09,-0.5,17.05,382500.0,17.14,17.18,16.88,0.0,0.0,0.0
aat,2021-06-11,17.05,0.82,4.79,17.87,921000.0,16.84,17.95,16.84,0.0,0.0,100.0
aat,2021-06-14,17.87,-0.17,-0.96,17.7,504000.0,17.87,18.04,17.4,0.0,0.0,0.0
aat,2021-06-15,17.7,0.09,0.49,17.78,477000.0,17.44,17.83,17.31,0.0,0.0,0.0
aat,2021-06-16,17.78,-0.17,-0.97,17.61,398900.0,17.95,18.04,17.31,0.0,0.0,0.0
aat,2021-06-17,17.61,-0.09,-0.49,17.52,426800.0,17.22,17.65,17.18,0.0,0.0,0.0
aat,2021-06-18,17.52,0.09,0.49,17.61,505100.0,17.61,17.7,17.18,0.0,0.0,0.0
