date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2016-08-18,18.61,0.0,0.0,18.61,25400.0,18.71,18.71,17.02,0.0,0.0,0.0
2016-08-19,18.61,-1.03,-5.54,17.58,23700.0,18.43,18.43,17.58,0.0,0.0,0.0
2016-08-22,17.58,-0.7,-4.0,16.88,13400.0,17.82,17.82,16.88,0.0,0.0,0.0
2016-08-23,16.88,-0.56,-3.33,16.32,5000.0,16.88,16.88,16.27,0.0,0.0,0.0
2016-08-24,16.32,0.09,0.57,16.41,16000.0,16.32,16.41,16.32,0.0,0.0,0.0
2016-08-25,16.41,-0.05,-0.29,16.36,4100.0,16.22,16.36,16.13,0.0,0.0,0.0
2016-08-26,16.36,-0.09,-0.57,16.27,11400.0,15.94,16.27,15.8,0.0,300.0,0.0
2016-08-29,16.27,0.05,0.29,16.32,1100.0,16.32,16.32,16.32,0.0,0.0,0.0
2016-08-30,16.32,-0.14,-0.86,16.18,10210.0,15.94,16.18,15.47,0.0,600.0,0.0
2016-08-31,16.18,0.0,0.0,16.18,1100.0,16.18,16.18,16.13,0.0,0.0,0.0
2016-09-01,16.18,0.05,0.29,16.22,100.0,16.22,16.22,16.22,0.0,0.0,0.0
2016-09-05,16.22,-0.05,-0.29,16.18,3100.0,16.18,16.18,15.94,0.0,1100.0,0.0
2016-09-06,16.18,-0.33,-2.03,15.85,9000.0,15.85,15.85,15.85,0.0,0.0,0.0
2016-09-07,15.85,-0.14,-0.89,15.71,500.0,15.71,15.71,15.71,0.0,500.0,0.0
2016-09-08,15.71,0.0,0.0,15.71,8800.0,15.52,15.71,15.52,0.0,0.0,0.0
2016-09-09,15.71,0.14,0.9,15.85,5000.0,15.85,15.85,15.85,0.0,0.0,0.0
2016-09-12,15.85,0.0,0.0,15.85,5000.0,15.57,15.85,15.57,0.0,0.0,0.0
2016-09-13,15.85,0.09,0.59,15.94,1000.0,15.94,15.94,15.94,0.0,0.0,0.0
2016-09-14,15.94,-0.23,-1.47,15.71,500.0,15.71,15.71,15.71,0.0,500.0,0.0
2016-09-15,15.71,-0.23,-1.49,15.47,100.0,15.47,15.47,15.47,0.0,100.0,0.0
2016-09-16,15.47,0.47,3.03,15.94,100.0,15.94,15.94,15.94,0.0,0.0,0.0
2016-09-19,15.94,-0.23,-1.47,15.71,4100.0,15.71,15.71,15.47,0.0,0.0,0.0
2016-09-20,15.71,-0.7,-4.48,15.0,1800.0,15.24,15.24,15.0,0.0,100.0,0.0
2016-09-21,15.0,0.23,1.56,15.24,500.0,15.24,15.24,15.24,0.0,500.0,0.0
2016-09-22,15.24,-0.23,-1.54,15.0,500.0,15.0,15.0,15.0,0.0,500.0,0.0
2016-09-23,15.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0
2016-09-26,15.0,0.0,0.0,15.0,600.0,15.0,15.0,15.0,0.0,500.0,0.0
2016-09-27,15.0,-0.23,-1.56,14.77,500.0,14.77,14.77,14.77,0.0,500.0,0.0
2016-09-28,14.77,0.7,4.76,15.47,100.0,15.47,15.47,15.47,0.0,0.0,0.0
2016-09-29,15.47,0.0,0.0,15.47,0.0,15.47,15.47,15.47,0.0,0.0,0.0
2016-09-30,15.47,0.0,0.0,15.47,0.0,15.47,15.47,15.47,0.0,0.0,0.0
2016-10-03,15.47,0.0,0.0,15.47,0.0,15.47,15.47,15.47,0.0,0.0,0.0
2016-10-04,15.47,-0.94,-6.06,14.53,2000.0,14.53,14.53,14.53,0.0,500.0,0.0
2016-10-05,14.53,0.0,0.0,14.53,1200.0,14.53,14.53,14.53,0.0,100.0,0.0
2016-10-06,14.53,0.23,1.61,14.77,200.0,14.3,14.77,14.3,0.0,100.0,0.0
2016-10-07,14.77,0.0,0.0,14.77,100.0,14.77,14.77,14.77,0.0,0.0,0.0
2016-10-10,14.77,-0.28,-1.9,14.49,1000.0,14.49,14.49,14.49,0.0,0.0,0.0
2016-10-11,14.49,-0.14,-0.97,14.35,4700.0,14.49,14.49,14.35,0.0,0.0,0.0
2016-10-12,14.35,0.09,0.65,14.44,5000.0,14.53,14.53,14.44,0.0,600.0,0.0
2016-10-13,14.44,0.09,0.65,14.53,500.0,14.53,14.53,14.53,0.0,0.0,0.0
2016-10-14,14.53,0.14,0.97,14.68,500.0,14.68,14.68,14.68,0.0,0.0,0.0
2016-10-17,14.68,-0.38,-2.56,14.3,500.0,14.3,14.3,14.3,0.0,500.0,0.0
2016-10-18,14.3,0.23,1.64,14.53,2000.0,14.3,14.53,14.3,0.0,700.0,0.0
2016-10-19,14.53,0.23,1.61,14.77,2500.0,14.77,14.77,14.77,0.0,0.0,0.0
2016-10-20,14.77,0.0,0.0,14.77,1000.0,14.77,14.77,14.77,0.0,500.0,0.0
2016-10-21,14.77,0.09,0.64,14.86,1000.0,14.77,14.86,14.77,0.0,500.0,0.0
2016-10-24,14.86,1.08,7.26,15.94,400.0,14.82,15.94,14.82,0.0,0.0,0.0
2016-10-25,15.94,-0.28,-1.76,15.66,0.0,15.66,15.66,15.66,0.0,0.0,0.0
2016-10-26,15.66,-0.66,-4.19,15.0,2000.0,15.0,15.0,15.0,0.0,0.0,0.0
2016-10-27,15.0,0.47,3.12,15.47,2000.0,15.24,15.47,15.24,0.0,0.0,0.0
2016-10-28,15.47,0.0,0.0,15.47,100.0,15.47,15.47,15.47,0.0,0.0,0.0
2016-10-31,15.47,0.0,0.0,15.47,2000.0,15.47,15.47,15.47,0.0,0.0,0.0
2016-11-01,15.47,0.23,1.52,15.71,1700.0,15.71,15.71,15.71,0.0,0.0,0.0
2016-11-02,15.71,0.14,0.9,15.85,100.0,15.85,15.85,15.85,0.0,0.0,0.0
2016-11-03,15.85,0.09,0.59,15.94,200.0,15.94,15.94,15.94,0.0,0.0,0.0
2016-11-04,15.94,2.39,15.0,18.33,200.0,16.18,18.33,16.18,0.0,100.0,0.0
2016-11-07,18.33,-1.08,-5.88,17.25,0.0,17.25,17.25,17.25,0.0,0.0,0.0
2016-11-08,17.25,-1.31,-7.61,15.94,100.0,15.94,15.94,15.94,0.0,0.0,0.0
2016-11-09,15.94,2.39,15.0,18.33,100.0,18.33,18.33,18.33,0.0,0.0,0.0
2016-11-10,18.33,-1.92,-10.49,16.41,500.0,16.41,16.41,16.41,0.0,0.0,0.0
2016-11-11,16.41,0.0,0.0,16.41,10800.0,16.88,16.88,16.41,0.0,0.0,0.0
2016-11-14,16.41,-0.47,-2.86,15.94,18500.0,16.41,16.41,15.94,0.0,0.0,0.0
2016-11-15,15.94,0.0,0.0,15.94,0.0,15.94,15.94,15.94,0.0,0.0,0.0
2016-11-16,15.94,0.0,0.0,15.94,0.0,15.94,15.94,15.94,0.0,0.0,0.0
2016-11-17,15.94,0.0,0.0,15.94,23200.0,16.41,16.41,15.94,0.0,500.0,0.0
2016-11-18,15.94,0.47,2.94,16.41,2500.0,15.94,16.41,15.94,0.0,0.0,0.0
