date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2021-05-24,30.0,0.0,0.0,30.0,7546600.0,30.28,30.28,29.8,536500.0,0.0,2700.0
2021-05-25,30.0,0.4,1.33,30.4,8757400.0,30.0,30.6,29.84,0.0,536500.0,539200.0
2021-05-26,30.4,0.36,1.18,30.76,9976000.0,30.44,30.92,30.44,240000.0,2900.0,0.0
2021-05-27,30.76,-0.2,-0.65,30.56,9551700.0,30.8,31.32,30.32,0.0,2700.0,0.0
2021-05-28,30.56,0.56,1.83,31.12,9416000.0,30.56,31.12,30.44,480000.0,0.0,0.0
2021-05-31,31.12,2.0,6.43,33.12,16030300.0,31.6,33.16,31.2,64000.0,0.0,0.0
2021-06-01,33.12,0.56,1.69,33.68,11159800.0,34.0,34.32,33.6,0.0,0.0,0.0
2021-06-02,33.68,2.0,5.94,35.68,16009600.0,34.12,35.68,34.0,304000.0,0.0,0.0
2021-06-03,35.68,1.04,2.91,36.72,12265700.0,37.04,37.04,35.68,0.0,304000.0,304000.0
2021-06-04,36.72,-0.48,-1.31,36.24,9488100.0,36.0,36.72,36.0,371100.0,0.0,27100.0
2021-06-07,36.24,-1.84,-5.08,34.4,18505000.0,35.92,35.92,33.8,0.0,0.0,84300.0
2021-06-08,34.4,-2.24,-6.51,32.16,14322800.0,34.04,34.72,32.16,640000.0,0.0,0.0
2021-06-09,32.16,1.8,5.6,33.96,12565100.0,32.16,34.08,32.0,0.0,26900.0,0.0
2021-06-10,33.96,0.14,0.41,34.1,14000300.0,34.5,35.35,34.1,1447400.0,57700.0,12300.0
2021-06-11,34.1,0.55,1.61,34.65,9532300.0,34.4,35.1,33.8,0.0,1505100.0,1459700.0
2021-06-14,34.65,-0.55,-1.59,34.1,10946100.0,34.65,34.9,33.85,1788630.0,0.0,0.0
2021-06-15,34.1,1.25,3.67,35.35,18178200.0,34.1,36.2,33.5,1000000.0,12300.0,0.0
2021-06-16,35.35,-0.65,-1.84,34.7,8211200.0,35.35,35.45,34.5,1765600.0,0.0,0.0
2021-06-17,34.7,0.2,0.58,34.9,6392600.0,34.0,35.0,33.7,0.0,176560.0,176560.0
2021-06-18,34.9,0.1,0.29,35.0,9215200.0,35.2,35.5,34.9,0.0,0.0,0.0
2021-06-21,35.0,-0.25,-0.71,34.75,5447600.0,35.0,35.2,34.65,0.0,0.0,0.0
2021-06-22,34.75,0.9,2.59,35.65,14872000.0,35.2,36.0,34.85,182500.0,18250.0,18250.0
2021-06-23,35.65,0.15,0.42,35.8,10244600.0,35.9,36.4,35.7,204200.0,18250.0,18250.0
2021-06-24,35.8,0.4,1.12,36.2,11494200.0,36.0,36.45,35.6,148500.0,0.0,0.0
2021-06-25,36.2,0.15,0.41,36.35,7934000.0,36.2,36.6,36.05,0.0,38500.0,38500.0
2021-06-28,36.35,0.35,0.96,36.7,7937700.0,36.7,36.8,36.3,30000.0,0.0,0.0
2021-06-29,36.7,-0.25,-0.68,36.45,6677700.0,36.9,36.95,36.45,455100.0,0.0,0.0
2021-06-30,36.45,-0.75,-2.06,35.7,9628000.0,36.4,36.5,35.6,0.0,0.0,0.0
2021-07-01,35.7,0.25,0.7,35.95,10393200.0,35.55,36.2,35.1,0.0,0.0,0.0
2021-07-02,35.95,0.15,0.42,36.1,6407100.0,36.3,36.4,36.0,341700.0,0.0,0.0
2021-07-05,36.1,1.85,5.12,37.95,16668600.0,36.3,38.1,35.9,1823500.0,1743500.0,1743500.0
2021-07-06,37.95,-1.95,-5.14,36.0,10070000.0,38.0,38.2,36.0,160700.0,0.0,0.0
2021-07-07,36.0,0.55,1.53,36.55,10121600.0,36.0,36.9,35.1,0.0,0.0,0.0
