date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2014-01-24,14.27,0.0,0.0,14.27,8417060.0,14.42,14.8,14.04,0.0,280910.0,0.0
2014-01-27,14.27,-0.3,-2.13,13.97,3240910.0,14.2,14.27,13.74,0.0,33560.0,0.0
2014-02-06,13.97,-0.61,-4.35,13.36,959590.0,13.82,13.89,13.36,0.0,15300.0,0.0
2014-02-07,13.36,-0.76,-5.68,12.6,2987600.0,13.21,13.29,12.53,0.0,17700.0,0.0
2014-02-10,12.6,0.3,2.41,12.91,4052090.0,12.53,13.06,12.3,20000.0,841750.0,22300.0
2014-02-11,12.91,-0.08,-0.59,12.83,1938480.0,13.06,13.06,12.83,0.0,228000.0,0.0
2014-02-12,12.83,-0.08,-0.59,12.75,1176180.0,12.75,12.83,12.68,0.0,15500.0,0.0
2014-02-13,12.75,-0.15,-1.19,12.6,2156140.0,12.75,12.83,12.6,0.0,20000.0,0.0
2014-02-14,12.6,0.15,1.21,12.75,1489380.0,12.75,12.91,12.6,0.0,50630.0,0.0
2014-02-17,12.75,-0.08,-0.6,12.68,1173560.0,12.83,12.83,12.6,0.0,33600.0,0.0
2014-02-18,12.68,-0.08,-0.6,12.6,1861540.0,12.68,12.68,12.6,0.0,119000.0,27000.0
2014-02-19,12.6,0.0,0.0,12.6,2988120.0,12.68,12.75,12.53,0.0,202600.0,10.0
2014-02-20,12.6,0.23,1.81,12.83,3243650.0,12.68,13.06,12.6,0.0,275080.0,50000.0
2014-02-21,12.83,-0.15,-1.18,12.68,903040.0,12.75,12.75,12.68,0.0,39990.0,100.0
2014-02-24,12.68,0.0,0.0,12.68,833430.0,12.75,12.75,12.6,0.0,46000.0,0.0
2014-02-25,12.68,0.0,0.0,12.68,1249150.0,12.6,12.68,12.53,0.0,52960.0,0.0
2014-02-26,12.68,0.0,0.0,12.68,1399670.0,12.68,12.83,12.6,0.0,43000.0,0.0
2014-02-27,12.68,0.15,1.2,12.83,3731900.0,12.68,13.21,12.68,0.0,1930.0,0.0
2014-02-28,12.83,0.08,0.59,12.91,1154560.0,12.75,12.91,12.75,0.0,487300.0,0.0
2014-03-03,12.91,-0.23,-1.76,12.68,954830.0,12.83,12.91,12.68,0.0,5820.0,0.0
2014-03-04,12.68,-0.08,-0.6,12.6,1551740.0,12.6,12.68,12.53,0.0,369060.0,0.0
2014-03-05,12.6,0.0,0.0,12.6,737090.0,12.68,12.75,12.6,0.0,1000.0,0.0
2014-03-06,12.6,0.0,0.0,12.6,768340.0,12.6,12.68,12.53,0.0,10000.0,0.0
2014-03-07,12.6,0.0,0.0,12.6,773450.0,12.6,12.68,12.6,0.0,0.0,0.0
2014-03-10,12.6,0.08,0.6,12.68,957770.0,12.6,12.75,12.6,0.0,2500.0,0.0
2014-03-11,12.68,-0.08,-0.6,12.6,752790.0,12.6,12.68,12.6,0.0,0.0,61000.0
2014-03-12,12.6,-0.08,-0.6,12.53,979430.0,12.6,12.68,12.53,0.0,103000.0,0.0
2014-03-13,12.53,0.0,0.0,12.53,806950.0,12.6,12.6,12.45,0.0,200.0,0.0
2014-03-14,12.53,0.08,0.61,12.6,924510.0,12.6,12.68,12.45,0.0,3000.0,0.0
2014-03-17,12.6,0.0,0.0,12.6,989350.0,12.6,12.68,12.53,40000.0,55350.0,0.0
2014-03-18,12.6,0.15,1.21,12.75,2171570.0,12.6,12.83,12.53,926290.0,3000.0,0.0
2014-03-19,12.75,0.46,3.57,13.21,5624790.0,12.83,13.21,12.83,0.0,2000.0,0.0
2014-03-20,13.21,0.23,1.72,13.44,3325420.0,13.29,13.67,13.29,0.0,60.0,1530.0
2014-03-21,13.44,-0.15,-1.13,13.29,1236010.0,13.29,13.51,13.29,0.0,0.0,400.0
2014-03-24,13.29,0.08,0.57,13.36,2498010.0,13.44,13.67,13.36,60000.0,49100.0,0.0
2014-03-25,13.36,-0.3,-2.27,13.06,2051430.0,13.44,13.44,13.06,0.0,73000.0,100.0
2014-03-26,13.06,-0.3,-2.33,12.75,2030920.0,13.13,13.13,12.68,0.0,35000.0,6000.0
2014-03-27,12.75,0.0,0.0,12.75,1026180.0,12.83,12.83,12.68,20000.0,50000.0,0.0
2014-03-28,12.75,0.15,1.19,12.91,713160.0,12.75,12.91,12.75,0.0,78450.0,0.0
2014-03-31,12.91,-0.15,-1.18,12.75,831760.0,12.98,12.98,12.75,0.0,326950.0,0.0
2014-04-01,12.75,-0.08,-0.6,12.68,1701600.0,12.83,12.83,12.6,0.0,388350.0,0.0
2014-04-02,12.68,0.0,0.0,12.68,1217110.0,12.68,12.75,12.53,0.0,321010.0,10000.0
2014-04-03,12.68,0.08,0.6,12.75,519700.0,12.68,12.83,12.6,0.0,166320.0,0.0
2014-04-04,12.75,0.08,0.6,12.83,608360.0,12.83,12.83,12.68,0.0,403190.0,0.0
2014-04-07,12.83,-0.08,-0.59,12.75,441790.0,12.75,12.83,12.68,0.0,194000.0,0.0
2014-04-08,12.75,-0.08,-0.6,12.68,515610.0,12.75,12.83,12.68,0.0,0.0,0.0
2014-04-10,12.68,0.0,0.0,12.68,485550.0,12.68,12.75,12.68,0.0,1000.0,0.0
