date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2017-01-13,25.7,0.0,0.0,25.7,600.0,25.7,25.7,25.7,0.0,0.0,0.0
2017-01-16,25.7,3.84,14.95,29.55,10400.0,29.55,29.55,29.55,0.0,2000.0,0.0
2017-01-17,29.55,4.42,14.96,33.97,64517.0,33.97,33.97,33.66,0.0,34200.0,0.0
2017-01-18,33.97,3.09,9.11,37.06,10387.0,38.96,38.96,34.0,0.0,2000.0,0.0
2017-01-19,37.06,-1.7,-4.59,35.36,36126.0,36.38,36.38,34.0,0.0,1000.0,2000.0
2017-01-20,35.36,-0.68,-1.92,34.68,53302.0,33.66,34.68,33.66,0.0,14200.0,8500.0
2017-01-23,34.68,-0.68,-1.96,34.0,11545.0,34.0,34.07,34.0,0.0,4000.0,0.0
2017-01-24,34.0,0.1,0.3,34.1,15410.0,34.0,34.34,34.0,0.0,6000.0,0.0
2017-01-25,34.1,-0.1,-0.3,34.0,19900.0,34.0,34.1,34.0,0.0,5000.0,2900.0
2017-02-02,34.0,0.34,1.0,34.34,10466.0,34.03,34.51,34.0,0.0,1200.0,0.0
2017-02-03,34.34,-0.34,-0.99,34.0,3125.0,32.64,34.27,32.64,0.0,700.0,0.0
2017-02-06,34.0,-1.7,-5.0,32.3,10365.0,32.47,32.47,30.6,0.0,0.0,0.0
2017-02-07,32.3,-0.34,-1.05,31.96,21674.0,33.9,33.9,31.96,0.0,3000.0,0.0
2017-02-08,31.96,0.0,0.0,31.96,6764.0,31.28,31.96,31.28,0.0,3900.0,0.0
2017-02-09,31.96,0.58,1.81,32.54,14400.0,31.45,32.64,31.45,0.0,12800.0,0.0
2017-02-10,32.54,-0.07,-0.21,32.47,12750.0,32.64,32.71,32.37,0.0,12100.0,0.0
2017-02-13,32.47,0.07,0.21,32.54,15245.0,32.47,32.61,32.47,0.0,9500.0,0.0
2017-02-14,32.54,0.24,0.73,32.78,29368.0,32.47,32.81,32.4,0.0,17600.0,0.0
2017-02-15,32.78,-0.31,-0.93,32.47,13410.0,32.3,32.47,32.3,0.0,12800.0,0.0
2017-02-16,32.47,0.85,2.62,33.32,21900.0,32.64,33.32,32.47,0.0,12600.0,0.0
2017-02-17,33.32,0.17,0.51,33.49,17060.0,33.49,33.66,33.32,0.0,11100.0,0.0
2017-02-20,33.49,0.44,1.32,33.93,11571.0,34.07,34.88,33.32,0.0,8000.0,0.0
2017-02-21,33.93,0.1,0.3,34.03,23431.0,34.0,34.17,33.93,0.0,17000.0,0.0
2017-02-22,34.03,-0.07,-0.2,33.97,8270.0,34.0,34.0,33.93,0.0,4100.0,0.0
2017-02-23,33.97,-0.31,-0.9,33.66,16150.0,33.83,33.97,33.66,0.0,14700.0,0.0
2017-02-24,33.66,0.0,0.0,33.66,8054.0,32.98,33.66,32.98,0.0,7900.0,0.0
2017-02-27,33.66,-0.65,-1.92,33.01,2121.0,33.01,33.08,33.01,0.0,0.0,0.0
2017-02-28,33.01,0.65,1.96,33.66,8986.0,32.81,33.66,32.3,0.0,5200.0,0.0
2017-03-01,33.66,-0.34,-1.01,33.32,2294.0,33.35,33.35,33.32,0.0,2200.0,0.0
2017-03-02,33.32,-0.31,-0.92,33.01,1120.0,33.08,33.08,33.01,0.0,0.0,1000.0
2017-03-03,33.01,0.31,0.93,33.32,6212.0,33.32,33.35,33.32,0.0,4200.0,0.0
2017-03-06,33.32,0.27,0.82,33.59,12106.0,33.32,33.59,33.32,0.0,11800.0,0.0
2017-03-07,33.59,-0.61,-1.82,32.98,5462.0,33.52,33.52,32.98,0.0,2000.0,2800.0
2017-03-08,32.98,0.54,1.65,33.52,9875.0,33.32,33.66,33.32,44.0,9200.0,0.0
