date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2017-07-14,6.11,0.0,0.0,6.11,21500.0,14.15,14.15,6.11,0.0,0.0,0.0
2017-07-17,6.11,0.34,5.48,6.45,18300.0,6.45,6.45,6.45,0.0,0.0,0.0
2017-07-18,6.45,-0.92,-14.29,5.53,15600.0,5.53,5.53,5.53,0.0,1000.0,0.0
2017-07-19,5.53,0.75,13.64,6.28,3800.0,5.28,6.28,5.28,0.0,0.0,0.0
2017-07-20,6.28,-0.75,-12.0,5.53,11100.0,5.53,5.53,5.53,0.0,0.0,0.0
2017-07-21,5.53,-0.17,-3.03,5.36,3400.0,5.11,5.36,4.77,0.0,0.0,0.0
2017-07-24,5.36,-0.42,-7.81,4.94,600.0,4.94,4.94,4.94,0.0,0.0,0.0
2017-07-25,4.94,0.59,11.86,5.53,1000.0,5.53,5.53,5.53,0.0,0.0,0.0
2017-07-26,5.53,0.59,10.61,6.11,1500.0,6.03,6.11,5.86,0.0,1000.0,0.0
2017-07-27,6.11,0.5,8.22,6.62,500.0,6.62,6.62,6.62,0.0,0.0,0.0
2017-07-28,6.62,-0.92,-13.92,5.7,400.0,5.78,5.78,5.7,0.0,0.0,0.0
2017-07-31,5.7,0.67,11.77,6.37,300.0,6.37,6.37,6.37,0.0,0.0,0.0
2017-08-01,6.37,0.0,0.0,6.37,0.0,6.37,6.37,6.37,0.0,0.0,0.0
2017-08-02,6.37,-0.92,-14.47,5.44,6200.0,5.44,5.53,5.44,0.0,0.0,0.0
2017-08-03,5.44,0.0,0.0,5.44,600.0,6.03,6.03,5.44,0.0,0.0,0.0
2017-08-04,5.44,-0.5,-9.23,4.94,10300.0,5.95,5.95,4.94,0.0,0.0,0.0
2017-08-07,4.94,0.42,8.48,5.36,3200.0,5.19,5.36,5.19,0.0,0.0,0.0
2017-08-08,5.36,-0.34,-6.25,5.03,5700.0,5.78,5.78,4.69,0.0,0.0,0.0
2017-08-09,5.03,-0.08,-1.67,4.94,0.0,4.94,4.94,4.94,0.0,0.0,0.0
2017-08-10,4.94,-0.17,-3.39,4.77,3400.0,4.69,4.77,4.69,0.0,0.0,0.0
2017-08-11,4.77,0.59,12.28,5.36,4300.0,5.19,5.36,5.19,0.0,0.0,0.0
2017-08-14,5.36,0.34,6.25,5.7,8400.0,5.7,5.7,5.7,0.0,0.0,0.0
2017-08-15,5.7,0.0,0.0,5.7,0.0,5.7,5.7,5.7,0.0,0.0,0.0
2017-08-16,5.7,-0.25,-4.41,5.44,6000.0,5.44,5.44,5.44,0.0,0.0,0.0
2017-08-17,5.44,0.0,0.0,5.44,2000.0,5.44,5.44,5.44,0.0,0.0,0.0
2017-08-18,5.44,0.0,0.0,5.44,0.0,5.44,5.44,5.44,0.0,0.0,0.0
2017-08-21,5.44,-0.08,-1.54,5.36,5000.0,5.36,5.36,5.36,0.0,0.0,0.0
2017-08-22,5.36,-0.34,-6.25,5.03,4200.0,5.03,5.03,5.03,0.0,0.0,0.0
2017-08-23,5.03,0.0,0.0,5.03,8100.0,4.61,5.11,4.61,0.0,0.0,3000.0
2017-08-24,5.03,0.17,3.33,5.19,8000.0,5.03,5.19,5.03,0.0,0.0,0.0
2017-08-25,5.19,-0.17,-3.23,5.03,5200.0,5.11,5.11,5.03,0.0,0.0,0.0
2017-08-28,5.03,0.0,0.0,5.03,8100.0,5.03,5.03,5.03,0.0,0.0,0.0
2017-08-29,5.03,0.0,0.0,5.03,1300.0,5.03,5.03,5.03,0.0,0.0,0.0
2017-08-30,5.03,0.0,0.0,5.03,10500.0,4.86,5.03,4.86,0.0,0.0,0.0
2017-08-31,5.03,-0.17,-3.33,4.86,3000.0,4.86,4.86,4.86,0.0,0.0,0.0
2017-09-01,4.86,-0.08,-1.73,4.77,9700.0,4.77,4.77,4.77,0.0,0.0,0.0
2017-09-05,4.77,0.0,0.0,4.77,1500.0,4.77,4.77,4.77,0.0,0.0,0.0
2017-09-06,4.77,0.0,0.0,4.77,0.0,4.77,4.77,4.77,0.0,0.0,0.0
2017-09-07,4.77,-0.08,-1.75,4.69,6900.0,4.86,4.86,4.69,0.0,0.0,0.0
2017-09-08,4.69,0.0,0.0,4.69,100.0,4.69,4.69,4.69,0.0,0.0,0.0
2017-09-11,4.69,-0.08,-1.79,4.61,16600.0,4.69,4.69,4.61,0.0,0.0,0.0
2017-09-12,4.61,0.0,0.0,4.61,9700.0,4.27,4.61,4.27,0.0,0.0,0.0
2017-09-13,4.61,-0.08,-1.82,4.52,6600.0,4.52,4.52,4.52,0.0,0.0,0.0
2017-09-14,4.52,0.08,1.85,4.61,3400.0,4.77,4.77,4.61,0.0,0.0,0.0
2017-09-15,4.61,-0.08,-1.82,4.52,20300.0,4.69,4.69,4.52,0.0,0.0,0.0
2017-09-18,4.52,0.0,0.0,4.52,3000.0,4.52,4.52,4.52,0.0,0.0,0.0
2017-09-19,4.52,0.17,3.7,4.69,2100.0,4.69,4.69,4.69,0.0,0.0,0.0
2017-09-20,4.69,-0.17,-3.57,4.52,8000.0,4.61,4.61,4.52,0.0,0.0,0.0
2017-09-21,4.52,0.17,3.7,4.69,7100.0,4.61,4.69,4.44,0.0,0.0,0.0
2017-09-22,4.69,-0.25,-5.36,4.44,0.0,4.44,4.44,4.44,0.0,0.0,0.0
2017-09-25,4.44,0.25,5.66,4.69,1200.0,4.52,4.69,4.52,0.0,0.0,0.0
2017-09-26,4.69,0.0,0.0,4.69,200.0,4.69,4.69,4.69,0.0,0.0,0.0
2017-09-27,4.69,0.0,0.0,4.69,0.0,4.69,4.69,4.69,0.0,0.0,0.0
2017-09-28,4.69,0.0,0.0,4.69,3100.0,4.52,4.69,4.52,0.0,0.0,0.0
2017-09-29,4.69,-0.17,-3.57,4.52,2700.0,4.52,4.52,4.52,0.0,0.0,0.0
2017-10-02,4.52,0.0,0.0,4.52,0.0,4.52,4.52,4.52,0.0,0.0,0.0
2017-10-03,4.52,0.0,0.0,4.52,13500.0,4.52,4.52,4.52,0.0,0.0,0.0
2017-10-04,4.52,0.17,3.7,4.69,1100.0,4.61,4.69,4.61,0.0,0.0,0.0
2017-10-05,4.69,0.0,0.0,4.69,0.0,4.69,4.69,4.69,0.0,0.0,0.0
2017-10-06,4.69,0.0,0.0,4.69,0.0,4.69,4.69,4.69,0.0,0.0,0.0
