date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2017-01-09,6.24,0.0,0.0,6.24,346000.0,8.03,8.03,5.74,0.0,0.0,0.0
2017-01-10,6.24,0.07,1.08,6.31,234947.0,6.44,6.44,6.24,179516.0,200000.0,0.0
2017-01-11,6.31,-0.07,-1.07,6.24,173442.0,6.31,6.31,6.17,74728.0,170050.0,0.0
2017-01-12,6.24,-0.57,-9.19,5.67,52349.0,6.07,6.07,5.67,0.0,0.0,0.0
2017-01-13,5.67,-0.54,-9.52,5.13,70740.0,5.5,5.5,5.09,49582.0,0.0,0.0
2017-01-16,5.13,0.03,0.66,5.16,134435.0,5.2,5.2,5.03,147931.0,0.0,0.0
2017-01-17,5.16,0.13,2.61,5.3,40175.0,5.06,5.3,5.06,108531.0,0.0,3500.0
2017-01-18,5.3,0.03,0.64,5.33,20408.0,5.3,5.33,5.23,53362.0,10.0,0.0
2017-01-19,5.33,0.07,1.27,5.4,73089.0,5.3,5.4,5.26,0.0,0.0,0.0
2017-01-20,5.4,-0.03,-0.62,5.36,52135.0,5.33,5.57,5.33,89126.0,0.0,0.0
2017-01-23,5.36,0.1,1.89,5.47,42247.0,5.57,5.7,5.47,0.0,3000.0,0.0
2017-01-24,5.47,0.27,4.94,5.74,63225.0,5.63,5.74,5.63,0.0,51100.0,0.0
2017-01-25,5.74,-0.03,-0.59,5.7,1610.0,5.7,5.7,5.7,0.0,0.0,0.0
2017-02-02,5.7,-0.2,-3.55,5.5,9810.0,5.7,5.7,5.43,0.0,10.0,0.0
2017-02-03,5.5,0.14,2.46,5.63,7890.0,5.43,5.7,5.43,0.0,1020.0,0.0
2017-02-06,5.63,-0.07,-1.2,5.57,75013.0,5.6,5.6,5.57,0.0,70000.0,0.0
2017-02-07,5.57,0.0,0.0,5.57,23900.0,5.57,5.57,5.57,0.0,0.0,0.0
2017-02-08,5.57,-0.07,-1.21,5.5,11454.0,5.57,5.57,5.5,0.0,300.0,0.0
2017-02-09,5.5,0.03,0.61,5.53,27845.0,5.57,5.67,5.53,0.0,0.0,0.0
2017-02-10,5.53,0.17,3.05,5.7,12638.0,5.57,5.7,5.57,0.0,0.0,0.0
2017-02-13,5.7,-0.03,-0.59,5.67,24240.0,5.53,5.67,5.53,0.0,0.0,0.0
2017-02-14,5.67,-0.07,-1.19,5.6,17715.0,5.6,5.63,5.6,0.0,210.0,0.0
2017-02-15,5.6,0.03,0.6,5.63,53610.0,5.57,5.74,5.57,18760.0,0.0,0.0
2017-02-16,5.63,0.1,1.8,5.74,62280.0,5.7,5.8,5.7,0.0,0.0,0.0
2017-02-17,5.74,-0.07,-1.18,5.67,1540.0,5.67,5.67,5.67,0.0,0.0,0.0
2017-02-20,5.67,0.03,0.59,5.7,20599.0,5.67,5.8,5.67,0.0,0.0,0.0
2017-02-21,5.7,0.03,0.59,5.74,12750.0,5.7,5.74,5.67,0.0,0.0,0.0
2017-02-22,5.74,-0.03,-0.59,5.7,41019.0,5.74,5.77,5.7,74135.0,2500.0,0.0
2017-02-23,5.7,-0.03,-0.59,5.67,60220.0,5.74,5.74,5.67,0.0,0.0,0.0
2017-02-24,5.67,0.07,1.19,5.74,30064.0,5.74,5.74,5.7,0.0,0.0,0.0
2017-02-27,5.74,0.0,0.0,5.74,16720.0,5.74,5.74,5.7,93.0,0.0,0.0
2017-02-28,5.74,0.03,0.59,5.77,13447.0,5.7,5.8,5.7,0.0,0.0,0.0
2017-03-01,5.77,0.07,1.17,5.84,8158.0,5.77,5.9,5.77,0.0,0.0,0.0
2017-03-02,5.84,0.07,1.16,5.9,17246.0,5.94,6.17,5.87,0.0,0.0,0.0
2017-03-03,5.9,0.07,1.14,5.97,13301.0,5.94,5.97,5.94,0.0,0.0,0.0
2017-03-06,5.97,-0.07,-1.13,5.9,20752.0,5.97,5.97,5.9,0.0,0.0,0.0
2017-03-07,5.9,0.03,0.57,5.94,15280.0,5.8,5.97,5.8,0.0,0.0,0.0
2017-03-08,5.94,-0.1,-1.7,5.84,4000.0,5.84,5.84,5.84,0.0,0.0,0.0
2017-03-09,5.84,0.0,0.0,5.84,6619.0,5.84,5.84,5.8,0.0,0.0,0.0
2017-03-10,5.84,0.07,1.16,5.9,1400.0,5.84,5.9,5.84,0.0,0.0,0.0
2017-03-13,5.9,0.0,0.0,5.9,3515.0,5.9,5.94,5.9,0.0,0.0,0.0
2017-03-14,5.9,0.03,0.57,5.94,12650.0,5.9,5.97,5.9,0.0,0.0,0.0
2017-03-15,5.94,-0.03,-0.57,5.9,42200.0,5.87,5.9,5.84,20000.0,0.0,0.0
2017-03-16,5.9,0.0,0.0,5.9,12643.0,5.9,5.9,5.9,19100.0,0.0,0.0
2017-03-17,5.9,0.03,0.57,5.94,4767.0,5.94,5.94,5.94,0.0,0.0,0.0
2017-03-20,5.94,-0.07,-1.14,5.87,15087.0,5.94,5.94,5.87,0.0,0.0,0.0
2017-03-21,5.87,0.03,0.58,5.9,8753.0,5.9,5.9,5.9,0.0,0.0,0.0
2017-03-22,5.9,0.0,0.0,5.9,23629.0,6.01,6.01,5.9,0.0,0.0,0.0
2017-03-23,5.9,0.0,0.0,5.9,7280.0,5.9,5.9,5.9,0.0,0.0,0.0
2017-03-24,5.9,0.0,0.0,5.9,13548.0,5.8,6.01,5.8,240000.0,0.0,0.0
2017-03-27,5.9,0.03,0.57,5.94,4030.0,5.9,5.94,5.9,0.0,0.0,100.0
2017-03-28,5.94,0.03,0.57,5.97,11397.0,5.9,6.01,5.9,0.0,0.0,0.0
2017-03-29,5.97,-0.03,-0.56,5.94,3496.0,6.07,6.07,5.94,0.0,0.0,0.0
2017-03-30,5.94,0.03,0.57,5.97,15105.0,6.07,6.07,5.97,80000.0,0.0,0.0
2017-03-31,5.97,0.1,1.69,6.07,42058.0,6.07,6.07,5.97,0.0,0.0,0.0
2017-04-03,6.07,0.14,2.22,6.21,27703.0,6.07,6.24,6.07,0.0,0.0,0.0
2017-04-04,6.21,0.0,0.0,6.21,21211.0,6.24,6.24,6.21,0.0,0.0,0.0
2017-04-05,6.21,0.03,0.54,6.24,35224.0,6.31,6.34,6.24,0.0,0.0,0.0
