date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
2003-02-12,6.57,0.0,0.0,6.57,1400.0,6.57,6.57,6.57,0.0,0.0,0.0
2003-02-13,6.57,-0.03,-0.48,6.53,4000.0,6.53,6.53,6.53,0.0,0.0,0.0
2003-02-14,6.53,0.03,0.48,6.57,2300.0,6.57,6.57,6.57,0.0,0.0,0.0
2003-02-17,6.57,0.0,0.0,6.57,100.0,6.57,6.57,6.57,0.0,0.0,0.0
2003-02-18,6.57,-0.13,-1.91,6.44,2200.0,6.44,6.44,6.44,0.0,0.0,0.0
2003-02-19,6.44,0.13,1.94,6.57,2400.0,6.57,6.57,6.57,0.0,0.0,0.0
2003-02-20,6.57,0.0,0.0,6.57,100.0,6.57,6.57,6.57,0.0,0.0,0.0
2003-02-21,6.57,-0.16,-2.38,6.41,3900.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-02-24,6.41,0.0,0.0,6.41,4200.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-02-25,6.41,0.0,0.0,6.41,1900.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-02-26,6.41,0.0,0.0,6.41,3500.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-02-27,6.41,0.0,0.0,6.41,4100.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-02-28,6.41,0.0,0.0,6.41,3000.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-03-03,6.41,0.03,0.49,6.44,4000.0,6.44,6.44,6.44,0.0,0.0,0.0
2003-03-04,6.44,0.0,0.0,6.44,4600.0,6.44,6.44,6.44,0.0,0.0,0.0
2003-03-05,6.44,0.0,0.0,6.44,4900.0,6.44,6.44,6.44,0.0,0.0,0.0
2003-03-06,6.44,0.0,0.0,6.44,2000.0,6.44,6.44,6.44,0.0,0.0,0.0
2003-03-07,6.44,0.0,0.0,6.44,2000.0,6.44,6.44,6.44,0.0,0.0,0.0
2003-03-10,6.44,-0.03,-0.49,6.41,1800.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-03-11,6.41,0.0,0.0,6.41,500.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-03-12,6.41,0.0,0.0,6.41,0.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-03-13,6.41,0.0,0.0,6.41,0.0,6.41,6.41,6.41,0.0,0.0,0.0
2003-03-14,6.41,-0.06,-0.98,6.35,100.0,6.35,6.35,6.35,0.0,0.0,0.0
2003-03-17,6.35,0.0,0.0,6.35,0.0,6.35,6.35,6.35,0.0,0.0,0.0
2003-03-18,6.35,-0.09,-1.48,6.25,1800.0,6.25,6.25,6.25,0.0,0.0,0.0
2003-03-19,6.25,-0.25,-4.0,6.0,3700.0,6.0,6.0,6.0,0.0,0.0,0.0
2003-03-20,6.0,0.09,1.56,6.1,2000.0,6.1,6.1,6.1,0.0,0.0,0.0
2003-03-21,6.1,0.03,0.51,6.13,3800.0,6.13,6.13,6.13,0.0,0.0,0.0
2003-03-24,6.13,-0.22,-3.57,5.91,4000.0,5.91,5.91,5.91,0.0,0.0,0.0
2003-03-25,5.91,-0.16,-2.65,5.75,3500.0,5.75,5.75,5.75,0.0,0.0,0.0
2003-03-26,5.75,0.28,4.89,6.03,200.0,6.03,6.03,6.03,0.0,0.0,0.0
2003-03-27,6.03,0.0,0.0,6.03,0.0,6.03,6.03,6.03,0.0,0.0,0.0
2003-03-28,6.03,0.0,0.0,6.03,100.0,6.03,6.03,6.03,0.0,0.0,0.0
2003-03-31,6.03,-0.09,-1.55,5.94,2200.0,5.94,5.94,5.94,0.0,0.0,0.0
2003-04-01,5.94,-0.25,-4.21,5.69,5500.0,5.69,5.69,5.69,0.0,0.0,0.0
2003-04-02,5.69,0.28,4.95,5.97,6300.0,5.97,5.97,5.97,0.0,0.0,0.0
