Mã CK,Tên Công Ty,Ngày GDĐT,KLNY LầnĐầu,Giá NY,KL ĐangLưuHành,Cổ Phiếu Quỹ,Khối Lượng Niêm yết,NN được sở hữu,Tỷ Lệ NN Được sở Hữu,NN còn được phép mua,Giá HT,Vốn Thị Trường,Nhóm,Sàn Giao Dịch
CRE,CTCP Bất động sản Thế Kỷ,05/09/2018,50000000.0,50.0,95999908.0,0.0,95999908.0,0.0,0.0,0.0,30.7,2942.4,bds,HOSE
D2D,CTCP Phát triển Đô thị Công nghiệp số 2,14/08/2009,10700000.0,40.0,30214726.0,45016.0,30259742.0,5243000.0,17.32665136404666,3767560.0,66.0,1997.1,bds,HOSE
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,19/08/2009,60000000.0,55.0,409890962.0,0.0,409890962.0,113530461.0,27.697722449415707,40369588.0,46.2,18937.0,bds,HOSE
DLG,CTCP Tập đoàn Đức Long Gia Lai,22/06/2010,29100000.0,25.0,299309720.0,0.0,299309720.0,107401197.0,35.8829633063704,69756825.0,6.8,2029.3,bds,HOSE
DRH,CTCP DRH Holdings,26/07/2010,14990000.0,17.0,60428233.0,285850.0,60714083.0,24010000.0,39.54601439010452,23982360.0,21.2,1284.1,bds,HOSE
DTA,CTCP Đệ Tam,16/07/2010,10000000.0,30.0,18059832.0,0.0,18059832.0,4900000.0,27.132035336762822,4673820.0,23.6,426.2,bds,HOSE
DXG,CTCP Tập đoàn Đất Xanh,22/12/2009,8000000.0,40.0,517557917.0,1238375.0,518796292.0,57459149.0,11.075474109209708,6060351.0,23.5,12165.8,bds,HOSE
FLC,CTCP Tập đoàn FLC,05/10/2011,10000000.0,12.5,709997807.0,0.0,709997807.0,259637051.0,36.568711683358764,188422414.0,12.0,8520.0,bds,HOSE
HAG,CTCP Hoàng Anh Gia Lai,22/12/2008,179814501.0,40.0,924289099.0,0.0,924289099.0,336368351.0,36.3921149090605,253563367.0,5.0,4658.4,bds,HOSE
HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,08/10/2007,8128000.0,70.0,83144288.0,0.0,83144288.0,20145467.0,24.229526146161717,11765924.0,100.0,8314.4,bds,HOSE
HDG,CTCP Tập đoàn Hà Đô,02/02/2010,13500000.0,88.0,154275018.0,0.0,154275018.0,33841077.0,21.93555213197253,18838110.0,65.6,10120.4,bds,HOSE
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,20/10/2010,40000000.0,38.0,476600000.0,0.0,476600000.0,209034000.0,43.85942089802769,164979895.0,5.2,2473.6,bds,HOSE
IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,30/06/2011,38000000.0,18.0,118088708.0,0.0,118088708.0,88988738.0,75.35753376182251,85255352.0,8.1,956.5,bds,HOSE
IJC,CTCP Phát triển Hạ tầng Kỹ thuật,19/04/2010,54838905.0,30.0,137097323.0,0.0,137097323.0,134355317.0,97.99995657099738,114844205.0,33.7,4613.3,bds,HOSE
